Case Nbr,Location,Date and Time Reported,Date and Time of Occurrence,Synopsis,Disposition,Crime
211086,Z1B Parking Lot,11/10/2021 1008 hours,Between11/09/2021 223011/10/2021 0930,"An officer investigated burglary of a motor vehicle, which occurred in the Z1-B parking lot. A pocket knife was stolen from a secured vehicle.",Open Inactive,Burgalry of a motor vehicle
211083,Bledsoe Res. Hall,11/10/2021 0740 hours,Between11/09/2021 233011/10/2021 0735,"An officer investigated theft, which occurred at the north bicycle racks at Bledsoe  Residence Hall. A rear tire was stolen from a bicycle.",Open Inactive,Bike theft
211084,C1 North Parking Lot,11/10/2021 0649 hours,Between11/09/2021 150011/10/2021 0649,"An officer investigated burglary of a motor vehicle, which occurred in the C-1 North parking lot. Items were stolen from a secured vehicle.",Open Inactive,Burgalry of a motor vehicle
211082,Z3L Parking Lot,11/10/2021 0217 hours,11/10/2021 0217 hours,"An officer arrested  a student for possession of marijuana and possession of drug paraphernalia, which occurred in the Z3-L parking lot, following a check  on a suspicious vehicle. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
211081,Z3L Parking Lot,11/10/2021 0026 hours,11/10/2021 0026 hours,"An officer arrested  a student for possession of a controlled substance (THC Oil) and possession of drug paraphernalia, which occurred in the Z3-L parking lot, following the check on a suspicious vehicle. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
211080,R13 Parking Lot,11/09/2021 1652 hours,11/09/2021 1652 hours,"An officer investigated a traffic accident, with minor injuries, which occurred in R13 parking lot.",Incident Report - Case Closed,Vehicle accident
211078,R23 Parking Lot,11/09/2021 1554 hours,Between11/09/2021 133011/09/2021 1550,"An officer investigated a duty on striking an unattended vehicle, which occurred in the R23 parking lot.",Open Active,Striking of unattended vehicle
211077,10th Street,11/09/2021 1500 hours,11/09/2021 1500 hours,"An officer arrested  a non-student for theft of a bicycle, criminal trespass and an outstanding Lubbock County Sheriff's Office warrant, which occurred in the 2400 block of 10th Street. The non-student was issued a Lubbock County citation for possession of drug paraphernalia, which the non-student signed. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Bike theft
211079,West Village B Res. Hall,11/09/2021 1444 hours,11/09/2021 1444 hours,"An officer documented information in reference to a welfare check on a student, which occurred a West Village B Residence Hall.",Incident Report - Case Closed,Welfare check
211076,"Industrial, Manufacturing, and Systems Engineering",11/09/2021 1435 hours,Between11/01/2021 135011/01/2021 1400,"An officer investigated an aggravated assault, which occurred at the Industrial Engineering Building.",Open Active,Assault
211075,United Supermarkets Arena,11/09/2021 1422 hours,Between11/09/2021 140011/09/2021 1415,"An officer investigated theft, which occurred at the United Supermarkets Arena. Lawn equipment was stolen.",Open Inactive,General theft
211073,Marsha Sharp Freeway,11/09/2021 1106 hours,11/09/2021 1106 hours,"An officer issued a  non-student a Lubbock County citation for possession of drug paraphernalia, which occurred in the 2500 block of Marsha Sharp Freeway following a traffic stop. The non-student signed the citations and was released.",Cleared By Arrest,Possession of drug paraphernalia
211072,Bledsoe Res. Hall,11/09/2021 0905 hours,Between10/26/2021 150011/05/2021 1600,"An officer investigated theft, which occurred at the south bicycle racks at Bledsoe Residence Hall. Bicycle tires were stolen.",Open Inactive,Bike theft
211071,Z6B Parking Lot,11/09/2021 0028 hours,11/09/2021 0028 hours,"An officer released  four students, pending the filing of charges, for possession of marijuana, which occurred in the Z6-B parking lot, following a check on a  suspicious vehicle. The four students received citations for possession  of fictitious driver licenses and two of them received citations for possession of drug paraphernalia. The students signed the citations and  were released.",Cleared By Arrest,Fictitious license
211070,Murray Res. Hall,11/08/2021 2053 hours,11/08/2021 2053 hours,"An officer documented information in reference to a welfare check on a student, which occurred at Murray Residence Hall.",Incident Report - Case Closed,Welfare check
211069,Texas Tech Parkway,11/08/2021 1906 hours,11/08/2021 1906 hours,"An officer investigated a traffic accident, without injuries, which occurred in the 1000 block of Texas Tech Parkway.",Incident Report - Case Closed,Vehicle accident
211068,C11 Parking Lot,11/08/2021 1355 hours,11/08/2021 1355 hours,"An officer arrested  a non-student for indecent exposure, which occurred in the C-11 parking  lot, following the report of a suspicious vehicle. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail. The vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,Indecent exposure
211065,Murdough Res. Hall,11/08/2021 1345 hours,09/25/2021 2338 hours,"An officer documented information in reference to suspicious activity, which occurred at Murdough Residence Hall.",Incident Report - Case Closed,UNDEFINED
211067,Wiggins Complex,11/08/2021 0952 hours,11/05/2021 1130 hours,"An officer investigated theft, which occurred at Sam's Place West. Food was stolen.",Open Active,General theft
211064,Gates Res. Hall,11/08/2021 0138 hours,11/08/2021 0138 hours,"An officer documented information in reference to roommates having a verbal dispute, which occurred at Gates Residence Hall.",Incident Report - Case Closed,UNDEFINED
211063,Z4P Parking Lot,11/07/2021 2348 hours,11/07/2021 2348 hours,"An officer released  two students, pending the filing of charges, for possession of marijuana, which occurred in the Z4-P parking lot, following a check on a  suspicious vehicle, Both students received citations for possession of drug paraphernalia and fictitious licenses. Both students signed the citations and were released.",Cleared By Arrest,Fictitious license
211062,Flint Avenue Parking Garage,11/07/2021 1729 hours,Between11/04/2021 190011/07/2021 1720,"An officer investigated duty on striking an unattended vehicle, which occurred in the Flint Avenue Parking Garage.",Open Active,Striking of unattended vehicle
211061,9th Street,11/07/2021 1537 hours,11/07/2021 1537 hours,"An officer issued a  student a Lubbock County citation for possession of a fictitious license, which occurred in the 3200 block of 9th Street, following a traffic stop. The student signed the citation and was released.",Cleared By Arrest,Fictitious license
211059,Z5B Parking Lot,11/07/2021 0726 hours,Between11/06/2021 000011/07/2021 0726,"An officer investigated burglary of a motor vehicle, which occurred in the Z5-B parking lot. A secured vehicle was broken into with the intent to commit  theft.",Open Inactive,Burgalry of a motor vehicle
211058,Gordon Res. Hall,11/07/2021 0138 hours,11/07/2021 0138 hours,"An officer arrested  a student for public intoxication, which occurred at Gordon Residence Hall. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
211057,Murray Res. Hall,11/06/2021 2312 hours,11/06/2021 2312 hours,"An officer arrested  a student for public intoxication and resisting arrest, which occurred at Murray Residence Hall. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
211056,Z2B Parking Lot,11/06/2021 1304 hours,Between10/24/2021 100010/31/2021 1000,"An officer documented information in reference to damaged property, which occurred in the Z2-B parking lot. A vehicle was damaged.",Incident Report - Case Closed,General Damaged Property
211049,"Rec Center, Robert H. Ewalt Student",11/05/2021 2024 hours,11/05/2021 2024 hours,"An officer documented information in reference to an altercation involving two students, which occurred at the Student Recreation Center.",Incident Report - Case Closed,UNDEFINED
211055,Stangel Res. Hall,11/05/2021 1908 hours,11/05/2021 0245 hours,"An officer investigated burglary of a habitation, which occurred at Stangel Residence Hall.",Open Active,Building burglary
211054,Flint Avenue,11/05/2021 1600 hours,11/05/2021 1600 hours,"An officer arrested  a non-student for two outstanding City of Lubbock warrants and possession of a controlled substance (methamphetamine), which occurred in the 700 block of Flint Avenue. The non-student was issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail. While at the jail, the non-student was charged for possession of a prohibited substance in a correctional facility.",Cleared By Arrest,Possession of drug paraphernalia
211053,Drive of Champions,11/05/2021 1552 hours,11/05/2021 1552 hours,"An officer arrested  a non-student for criminal trespass, which occurred in the 3000 block of Drive of Champions. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Criminal trespass
21184,Weymouth Res. Hall,11/05/2021 1544 hours,11/05/2021 1500 hours,A student reported to a CSA incidents of stalking and an intimidation hate crime characterized by religion and ethnicity that occurred in Weymouth Residence Hall.,Title IX Referral Only,UNDEFINED
211052,C1 North Parking Lot,11/05/2021 1223 hours,Between11/03/2021 083011/03/2021 1700,"An officer documented information in reference to damaged property, which occurred in the C-1 North parking lot. A vehicle was damaged.",Incident Report - Case Closed,General Damaged Property
211051,Chitwood Res. Hall,11/05/2021 1027 hours,Between10/22/2021 053010/22/2021 0540,"An officer investigated criminal trespass, which occurred at Chitwood Residence Hall. An individual made unlawful entry into a dorm room.",Open Active,Criminal trespass
211050,Z4P Parking Lot,11/05/2021 1011 hours,Between11/03/2021 210011/04/2021 1301,"An officer documented information in reference to damaged property, which occurred in the Z4-P parking lot. A vehicle's back-up camera and license plate were damaged.",Incident Report - Case Closed,General Damaged Property
211048,Texas Tech Parkway,11/04/2021 1546 hours,11/04/2021 1546 hours,"An officer investigated a traffic accident, with minor injuries, which occurred at Texas Tech Parkway and 10th Street.",Incident Report - Case Closed,Vehicle accident
211047,Z6A Parking Lot,11/04/2021 1401 hours,Between11/03/2021 173011/04/2021 1230,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z6-A parking lot.",Open Inactive,Striking of unattended vehicle
211046,Z5C Parking Lot,11/04/2021 1312 hours,Between11/03/2021 170011/04/2021 1145,"An officer investigated criminal mischief, which occurred in the Z5-C parking lot. A sign was dislodged from the ground.",Open Inactive,Criminal mischief
211043,C2 North Parking Lot,11/03/2021 2332 hours,11/03/2021 2332 hours,"An officer issued a non-student a criminal trespass warning for all Texas Tech property, which occurred in the C2 parking lot.",Incident Report - Case Closed,Criminal trespass
211042,Z2D Parking Lot,11/03/2021 1801 hours,Between10/31/2021 122011/03/2021 1704,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z2-D parking lot.",Open Inactive,Striking of unattended vehicle
211040,Chitwood Res. Hall,11/03/2021 1448 hours,Between09/29/2021 120010/11/2021 0000,"An officer investigated assault (unwanted touching) and stalking, which occurred at Chitwood Residence Hall.",Open Active,Unwanted communication
211039,Weeks Hall,11/03/2021 1428 hours,Between10/22/2021 060011/03/2021 1330,"An officer investigated theft, which occurred at Weeks Hall. Three ROTC plaques were stolen from a hallway wall.",Open Active,General theft
211037,Murdough Res. Hall,11/03/2021 0140 hours,11/03/2021 0140 hours,"An officer arrested  a student for consumption of alcohol by a minor, possession of a fictitious license, possession of drug paraphernalia and possession of marijuana, which occurred in Murdough Residence Hall, following the investigation of a hit and run accident, which occurred in the Z5-C parking lot. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Consumption of alcohol by a minor
211035,Z5C Parking Lot,11/03/2021 0058 hours,11/03/2021 0058 hours,"An officer investigated a traffic accident, without injuries, which occurred in the Z5-C parking lot.",Incident Report - Case Closed,Vehicle accident
211036,Z5C Parking Lot,11/03/2021 0058 hours,11/03/2021 0058 hours,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z5-C parking lot. A driver of a vehicle struck three parked unoccupied vehicles and left the scene.",Open Active,Striking of unattended vehicle
211034,Marsha Sharp Freeway,11/02/2021 1943 hours,11/02/2021 1943 hours,"An officer investigated a traffic accident, without injuries, which occurred in the 3200 block of Marsha Sharp access road.",Incident Report - Case Closed,Vehicle accident
211033,Knapp Res. Hall,11/02/2021 1649 hours,11/02/2021 1649 hours,"An officer documented information in reference to a welfare check on a student, which occurred at Knapp Residence Hall.",Incident Report - Case Closed,Welfare check
211032,19th Street,11/02/2021 1558 hours,11/02/2021 1558 hours,"An officer investigated a traffic accident, with injuries, which occurred in the 3200 block of 19th Street.",Incident Report - Case Closed,Vehicle accident
211031,Honors Res. Hall,11/02/2021 1015 hours,11/02/2021 1015 hours,"An officer released a staff member, pending the filing of charges, for assault, which occurred at Honors Residence Hall.",Cleared By Case Presentment,Assault
211030,Z3K Parking Lot,11/01/2021 2007 hours,11/01/2021 2007 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana and possession of drug paraphernalia, which occurred in the Z3-K parking  lot.",Cleared By Case Presentment,Possession of drug paraphernalia
211029,Z7A Parking Lot,11/01/2021 1621 hours,Between10/31/2021 233011/01/2021 0100,"An officer investigated criminal mischief, which occurred in the Z7-A parking lot. A vehicle was damaged.",Open Inactive,Criminal mischief
211028,C16 Parking Lot,11/01/2021 1550 hours,Between11/01/2021 073211/01/2021 1330,"An officer investigated criminal mischief, which occurred in the C16 parking lot. Damage was caused to glass panels in a bus cut-out weather shelter.",Open Inactive,Criminal mischief
211027,Flint Avenue,10/31/2021 2332 hours,10/31/2021 2332 hours,"An officer arrested  a non-student for possession of marijuana, possession of drug paraphernalia, unlawful carrying a weapon (handgun) and tampering with identification numbers which occurred in the 1700 block of Flint Avenue,  following an observed traffic violation. The non-student was transported to the Lubbock County Jail and the vehicle was towed by Lubbock Wrecker Services.",Cleared By Arrest,Possession of drug paraphernalia
211026,Z4R Parking Lot,10/31/2021 2105 hours,10/31/2021 2105 hours,"An officer released  a non-student, pending the filing of charges, for possession of marijuana, which occurred in the Z4-R parking lot.",Cleared By Case Presentment,Possession of drug paraphernalia
211025,Z5B Parking Lot,10/31/2021 1749 hours,Between10/30/2021 153010/31/2021 1445,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z5-B parking lot.",Open Inactive,Striking of unattended vehicle
211024,Z3G Parking Lot,10/31/2021 1508 hours,Between10/29/2021 160010/31/2021 1400,"An officer investigated burglary of a motor vehicle, which occurred in the Z3-G parking lot. A wallet was stolen from an unsecured vehicle.",Open Active,Burgalry of a motor vehicle
211023,Z4P Parking Lot,10/31/2021 0220 hours,10/31/2021 0220 hours,"An officer arrested  a student for possession of a controlled substance (THC Wax) and possession of drug paraphernalia, which occurred in the Z4-P parking lot, following a suspicious vehicle check. The student was transported to the Lubbock County Jail. A second student was issued a Lubbock County citation for possession of alcohol by a minor, and possession of e-cigarettes by a minor. The second student signed the citation and was  released.",Cleared By Arrest,Consumption of alcohol by a minor
211022,Texas Tech Plaza,10/31/2021 0049 hours,10/31/2021 0049 hours,"An officer issued three students Lubbock County citations for possession of alcohol by a minor, which occurred in the Texas Tech Plaza parking lot, following a check on a suspicious vehicle. The three students signed the citations and were released.",Cleared By Arrest,Consumption of alcohol by a minor
211021,Z4P Parking Lot,10/30/2021 1625 hours,10/30/2021 1625 hours,"An officer released  a student, pending the filing of charges, for possession of a controlled substance (THC oil) and possession of marijuana, which occurred in the Z4-P parking lot. The student was also issued a Lubbock County citation for possession of drug paraphernalia, which he signed and was released.",Cleared By Arrest,Possession of drug paraphernalia
211019,Off Campus,10/30/2021 0257 hours,10/30/2021 0257 hours,"An officer arrested  a student for driving while intoxicated (open container) and accident involving damage to a vehicle, following a traffic accident in the 2600 block of 20th Street. The student was transported to the Lubbock County Jail and the student's vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,DUI
211020,Off Campus,10/30/2021 0257 hours,10/30/2021 0257 hours,"An officer investigated a traffic accident, without injuries, which occurred in the  2600 block of 20th Street. A university vehicle was damaged.",Incident Report - Case Closed,Vehicle accident
211018,Z3F Parking Lot,10/30/2021 0235 hours,10/30/2021 0235 hours,"An officer arrested  a non-student for evading arrest or detention, possession of a controlled substance (methamphetamine), fraudulent use or possession of identifying information and instantered Lubbock County citation for possession of drug paraphernalia, which occurred in the Z3-F parking lot. A second non-student was arrested for outstanding Lubbock Police Department warrants. Both non-students were issued a criminal trespass warning for all Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
211017,C1 South Parking Lot,10/29/2021 1543 hours,Between10/28/2021 074510/28/2021 1530,"An officer investigated burglary of a motor vehicle and credit/debit card abuse, which occurred in the C1 South parking lot. Property was stolen from an unsecured vehicle. A stolen debit card was used to make an unauthorized purchase.",Open Active,Burgalry of a motor vehicle
211016,Z5B Parking Lot,10/29/2021 1510 hours,10/29/2021 1510 hours,"An officer arrested  a student for possession of a controlled substance (THC Oil), which occurred in the Z5-B parking lot, following a check on a suspicious vehicle. The student was transported to the Lubbock County Jail. A second student was issued a Lubbock County citation for possession of a e-Cigarettes by a minor. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
211014,Z6A Parking Lot,10/29/2021 0240 hours,10/29/2021 0240 hours,"An officer arrested  a student for driving while intoxicated (open container), which occurred in the Z6-A parking lot, following a traffic stop. The student was transported to the Lubbock County Jail and the vehicle was impounded  by Lubbock Wrecker Services.",Cleared By Arrest,DUI
211013,C1 South Parking Lot,10/29/2021 0056 hours,10/29/2021 0056 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana, which occurred in the C1 south parking lot. A second student was issued a  Lubbock County citation for possession of e-Cigerattes by a minor. The second student signed the citation and both students were released.",Cleared By Arrest,Possession of drug paraphernalia
211012,Coleman Res. Hall,10/29/2021 0021 hours,10/29/2021 0021 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana and possession of drug paraphernalia, which occurred at Coleman Residence Hall.",Cleared By Case Presentment,Possession of drug paraphernalia
211011,United Supermarkets Arena,10/28/2021 2142 hours,10/28/2021 2120 hours,"An officer documented information in reference to a verbal altercation, which occurred at the United Supermarkets Arena.",Incident Report - Case Closed,UNDEFINED
211010,Texas Tech Parkway,10/28/2021 1956 hours,10/28/2021 1956 hours,"An officer investigated a traffic accident, without injuries, which occurred at the  intersection of Texas Tech Parkway and Indiana Avenue.",Incident Report - Case Closed,Vehicle accident
211009,Chitwood Res. Hall,10/28/2021 1936 hours,Between10/28/2021 021010/28/2021 0230,"An officer investigated a sexual assault and aggravated assault, which occurred at Chitwood Residence Hall.",Open Active,Assault
211007,Drane Hall,10/28/2021 1634 hours,10/28/2021 0559 hours,"An officer investigated online impersonation and theft, which occurred at Drane Hall. A staff member was the victim of an online scam.",Open Active,Impersonation
211006,Z5C Parking Lot,10/28/2021 1455 hours,10/29/2021 1455 hours,"An officer documented information in reference to damaged property, which occurred in the Z5-C parking lot. A vehicle's windshield was damaged.",Incident Report - Case Closed,General Damaged Property
211005,Maddox Engineering Research Center,10/28/2021 1441 hours,10/28/2021 1441 hours,"An officer issued a  non-student a criminal trespass warning for all Texas Tech property, which occurred at the Maddox Engineering Research Center.",Incident Report - Case Closed,Criminal trespass
211003,Grantham Complex,10/28/2021 1034 hours,Between10/21/2021 170010/26/2021 0630,"An officer investigated criminal mischief, which occurred at the east gate of the Grantham Compound. A lock was damaged.",Open Inactive,Criminal mischief
211004,C2 North Parking Lot,10/28/2021 1023 hours,Between10/21/2021 080010/22/2021 0800,"An officer documented information in reference to damaged property, which occurred in the C2 parking lot. A vehicle was damaged.",Incident Report - Case Closed,General Damaged Property
211002,Off Campus,10/28/2021 0914 hours,Between10/27/2021 120010/28/2021 0914,"An officer investigated theft, which occurred at the Oilfield Technology Center. Copper wire was stolen from a construction site.",Open Active,General theft
211001,Bledsoe Res. Hall,10/28/2021 0538 hours,10/28/2021 0538 hours,"An officer arrested  a non-student for theft, with 2 prior convictions, and possession of drug paraphernalia, which occurred in the 900 block of Akron Avenue following the theft of a bicycle from the south bicycle racks at Bledsoe  Residence Hall. The non-student was released, pending the filing of charges, for unlawful use of a criminal instrument and criminal mischief. The non-student was issued a criminal trespass warning for all  Texas Tech property and transported to the Lubbock County Jail.",Cleared By Arrest,Bike theft
211000,Akron Avenue,10/28/2021 0024 hours,10/28/2021 0024 hours,"An officer arrested  a student for driving while intoxicated, which occurred in the 900 block of Akron Avenue. The student was transported to the Lubbock County Jail and the student's vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,DUI
210999,Chitwood Res. Hall,10/27/2021 2317 hours,10/27/2021 2317 hours,"An officer investigated false alarm or report, which occurred at Chitwood Residence  Hall. A fire alarm pull station was activated.",Open Inactive,UNDEFINED
210997,Drive of Champions,10/27/2021 1956 hours,10/27/2021 1956 hours,"An officer issued a  student a Lubbock County citation for possession of a fictitious license, which occurred in the 3000 block of Drive of Champions. The student signed the citation and was released.",Cleared By Arrest,Fictitious license
210996,19th Street,10/27/2021 1637 hours,10/27/2021 1637 hours,"An officer investigated a traffic accident, without injuries, which occurred in the 2900 block of 19th Street.",Incident Report - Case Closed,Vehicle accident
210995,R31 Parking Lot,10/27/2021 1432 hours,Between10/26/2021 150010/26/2021 2045,"An officer documented information in reference to damaged property, which occurred in the R31 parking lot. A student's vehicle was damaged in an unknown location.",Incident Report - Case Closed,General Damaged Property
210998,Texas Tech Plaza,10/27/2021 1140 hours,Between10/26/2021 180010/27/2021 1430,"An officer investigated criminal mischief, which occurred on the fourth and fifth floors at the Texas Tech Plaza building. Several windows were damaged.",Open Inactive,Criminal mischief
210994,Off Campus,10/27/2021 0928 hours,Between10/21/2021 120010/27/2021 0830,"An officer investigated theft, which occurred at the Oilfield Technology Center. Copper wire was stolen from a construction site.",Open Inactive,General theft
210992,18th Street,10/26/2021 2319 hours,10/26/2021 2319 hours,"An officer arrested  a non-student for public intoxication, which occurred in the 3100 block  of 18th Street, following a report of a suspicious person. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210991,Z7A Parking Lot,10/26/2021 2300 hours,10/26/2021 2300 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred in the Z7-A parking lot, following a check on a vehicle.  The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210990,Flint Avenue,10/26/2021 2257 hours,10/26/2021 2257 hours,"An officer investigated duty on striking a fixture or highway landscaping, which occurred at the intersection of Flint Avenue and Drive of Champions. A stop sign was damaged.",Open Inactive,UNDEFINED
210989,Off Campus,10/26/2021 2140 hours,10/26/2021 2140 hours,"An officer issued a  non-student a citation for theft, which occurred at an off campus location (Walmart at 1911 Marsha Sharp Freeway). The non-student signed the citation and was released.",Cleared By Arrest,General theft
210987,18th Street,10/26/2021 0914 hours,10/26/2021 0914 hours,"An officer investigated a traffic accident, without injuries, which occurred in the  2800 block of 18th Street involving a University vehicle.",Incident Report - Case Closed,Vehicle accident
210986,Z5C Parking Lot,10/25/2021 2038 hours,Between10/22/2021 203010/22/2021 2130,"An officer investigated burglary of a motor vehicle, which occurred in the Z5-C parking. Personal items were stolen from an unsecured vehicle.",Open Inactive,Burgalry of a motor vehicle
210985,Weymouth Res. Hall,10/25/2021 1908 hours,Between10/23/2021 130010/25/2021 1900,"An officer investigated theft, which occurred at the north bicycle racks at Weymouth Residence Hall. A secured bicycle and cable lock were stolen.",Open Inactive,Bike theft
210984,Livermore Center,10/25/2021 1822 hours,10/25/2021 1822 hours,"An officer issued a non-student a criminal trespass warning for all Texas Tech property, which occurred at the Livermore Center.",Incident Report - Case Closed,Criminal trespass
210983,18th Street,10/25/2021 1622 hours,Between10/25/2021 120010/25/2021 1600,"An officer investigated theft, which occurred at the north bicycle racks at Gates Residence Hall. A secured bicycle was stolen.",Open Active,Bike theft
